KPGZ,with_KPGZ,count
01.11.02.10.03.01,01.11.06.01.99,10
01.11.03.01.02.02.02.01,01.11.06.04.02,5
01.11.03.01.02.02.02.01,01.11.04.01.01.01,12
01.11.03.01.02.02.02.01,01.11.01.03.11.99,2
01.11.03.01.02.02.02.01,01.11.03.10.04,12
01.11.03.01.02.02.02.01,01.11.01.04.10.99,23
01.11.03.01.02.02.02.01,01.11.02.05.01.99,8
01.11.03.01.02.02.02.01,01.11.04.03.02.01.01,1
01.11.03.01.02.02.02.01,01.11.01.04.01,7
01.11.03.01.02.02.02.01,01.11.02.12,1
01.11.03.01.02.02.02.01,01.11.06.01.99,15
01.11.03.01.01.99,01.11.04.01.01.01,32
01.11.03.01.01.99,01.11.02.12,1
01.11.02.09.04,01.11.04.01.01.01,3
01.11.02.09.04,01.11.01.03.11.99,20
01.11.06.04.02,01.11.03.05.05.01,17
01.11.06.04.02,01.11.04.01.01.01,2
01.11.06.04.02,01.11.03.10.04,8
01.11.06.04.02,01.11.03.01.02.02.01.08,12
01.11.06.04.02,01.11.02.09.01.02,14
01.11.06.04.02,01.11.02.09.99,4
01.11.06.04.02,01.11.02.05.01.99,3
01.11.06.04.02,01.11.04.03.02.01.01,16
01.11.03.07.99,01.11.01.03.11.99,46
01.11.06.99,01.11.03.05.05.01,159
01.11.06.99,01.11.04.01.01.01,4
01.11.03.05.05.01,01.11.04.01.01.01,15
01.11.03.05.05.01,01.11.01.03.11.99,5
01.11.03.05.05.01,01.11.06.01.02.02,41
01.11.03.05.05.01,01.11.06.99,207
01.11.03.05.05.01,01.11.02.05.01.99,3
01.11.04.01.01.01,01.11.01.03.11.99,1
01.11.04.01.01.01,01.11.06.01.02.02,9
01.11.04.01.01.01,01.11.06.99,30
01.11.04.01.01.01,01.11.03.01.02.02.01.08,2
01.11.04.01.01.01,01.11.02.09.01.02,6
01.11.04.01.01.01,01.11.02.09.99,2
01.11.04.01.01.01,01.11.02.05.01.99,1
01.11.04.01.01.01,01.11.02.09.04,5
01.11.01.03.11.99,01.11.03.10.04,2
01.11.01.03.11.99,01.11.02.09.01.02,2
01.11.01.03.11.99,01.11.04.99,24
01.11.01.03.11.99,01.11.02.09.99,1
01.11.01.03.11.99,01.11.02.05.01.99,8
01.11.01.03.11.99,01.11.02.09.04,5
01.11.03.10.04,01.11.06.01.02.02,18
01.11.03.10.04,01.11.06.99,85
01.11.03.10.04,01.11.03.01.02.02.01.08,9
01.11.03.10.04,01.11.02.09.04,47
01.11.01.04.10.99,01.11.03.01.02.02.01.08,31
01.11.03.01.02.02.01.08,01.11.06.01.02.02,14
01.11.03.01.02.02.01.08,01.11.04.99,13
01.11.03.01.02.02.01.08,01.11.02.09.99,7
01.23.90.04,01.23.90.04,2
01.20.01.01.01.01,01.20.99.01.05.02,1
03.07.03.02,03.07.03.01,19
01.16.16.01,01.16.16.02.01,2
01.11.04.06.99,01.11.01.01.02,13
01.11.04.06.99,01.11.01.02.06,8
01.11.04.06.99,01.11.01.07.99,2
01.11.04.06.99,01.11.03.05.13.01,5
01.11.04.06.99,01.11.01.10,2
01.11.02.99,01.11.01.03.11.99,1
01.11.02.99,01.11.04.01.05,9
01.11.02.99,01.11.01.01.02,3
01.11.02.99,01.11.01.02.06,4
01.11.02.99,01.11.01.07.99,1
01.11.02.99,01.11.03.05.13.01,4
01.11.02.99,01.11.01.10,1
01.11.02.99,01.11.04.03.02.05.05,3
01.11.02.09.04,01.11.04.01.05,35
01.11.02.09.04,01.11.01.01.02,32
01.11.02.09.04,01.11.01.02.06,12
01.11.02.09.04,01.11.01.07.99,10
01.11.02.09.04,01.11.03.05.13.01,4
01.11.02.09.04,01.11.01.10,4
01.11.01.03.11.99,01.11.04.01.05,2
01.11.01.03.11.99,01.11.04.01.99,2
01.11.01.03.11.99,01.11.01.01.02,5
01.11.01.03.11.99,01.11.01.02.06,14
01.11.01.03.11.99,01.11.01.07.99,9
01.11.01.03.11.99,01.11.04.01.04,2
01.11.01.03.11.99,01.11.03.05.13.01,1
01.11.04.01.05,01.11.01.01.02,4
01.11.04.01.05,01.11.01.02.06,2
01.11.04.01.05,01.11.01.07.99,1
01.11.04.99,01.11.01.07.99,18
01.11.04.01.99,01.11.01.01.02,5
01.15.02.07,01.15.02.05.07,92
01.02.10.50.24,01.02.10.50.86,1
01.15.05.03.02,01.15.05.03.01.04,18
01.15.01.01.04,01.15.05.04.04,3
01.15.01.01.04,01.15.05.16.02,1
01.15.05.04.10,01.15.05.02.06.01.02,4
01.10.01.02.04,01.10.01.02.01,4
01.10.01.02.04,01.10.01.02.04,1
01.10.01.02.04,01.10.02.05,4
01.20.04.01.09,01.20.03.03.06,28
01.16.20.03,01.16.01.02,5
01.16.03.01.01,01.16.03.10,56
01.16.03.10,01.16.05.01.01.01,9
01.02.10.50.20,01.02.10.44.01,3
01.02.10.50.20,01.02.10.13.30,1
01.02.10.50.20,01.02.10.55.10.02,2
01.02.10.44.01,01.02.10.13.04,1
01.02.10.55.06,01.02.10.13.04,4
01.16.16.01,01.16.16.02.07,2
01.16.16.01,01.16.16.04,2
01.16.16.02.07,01.16.16.04,2
01.11.04.01.01.01,01.11.04.01.01.01,110
01.02.12,01.02.10.54.03.02,13
01.02.12,01.02.10.43.14,9
01.02.10.54.03.02,01.02.12,5
01.15.05.01.05.01.01,01.15.05.07.01,20
01.15.05.01.05.01.01,01.15.05.13,14
01.15.05.01.05.01.01,01.15.05.02.06.03.02,5
01.10.05.02.03.01,01.10.05.02.03.03.02,14
01.10.05.02.03.01,01.10.04.04.01,29
01.10.05.02.03.01,01.10.04.01,105
01.10.05.02.03.03.02,01.10.05.02.04,17
01.10.05.02.03.03.02,01.10.03.06,6
01.10.05.02.03.03.02,01.10.04.04.01,2
01.10.05.02.04,01.10.04.04.01,35
01.10.03.06,01.10.04.04.01,63
01.15.01.05,01.15.05.03.01.04,7
01.15.01.05,01.15.04.03.03,5
01.15.01.05,01.15.02.05.03,4
01.15.01.05,01.15.05.18,11
01.15.05.03.01.04,01.15.01.04.06,14
01.15.05.03.01.04,01.15.02.05.03,5
01.15.05.03.01.04,01.15.01.02.01.01,29
01.15.05.03.01.04,01.15.02.06.02,17
01.15.05.03.01.04,01.15.04.03.02,10
01.15.05.03.01.04,01.15.04.03.01,15
01.20.03.04.05.02,01.20.04.09.02,32
01.20.04.02.09,01.20.04.09.02,10
01.20.07.11.08,01.20.04.09.02,2
01.20.04.06.01.01,01.20.04.09.02,13
01.20.04.06.01.01,01.20.07.11.01,4
01.20.04.02.14,01.20.04.09.02,8
01.20.03.04.05.01,01.20.04.09.02,3
01.11.01.04.05.01,01.11.01.03.11.09,15
01.11.01.03.11.09,01.11.01.03.11.09,3
01.11.01.03.11.09,01.11.01.04.05.01,8
01.11.01.03.11.09,01.11.01.04.01,8
01.11.01.03.11.09,01.11.01.04.10.99,11
01.11.01.03.11.09,01.11.01.03.11.03,6
01.14.06,01.14.06,700
01.06.01.04.01,01.06.01.02,15
01.13.11.04,01.13.04.02.01.09,2
01.02.10.42.22.08,01.02.10.12.13.01,15
01.02.10.42.22.08,01.02.10.30.02.04.02,2
01.02.10.42.22.08,01.02.10.10.02.10,12
01.02.10.42.22.08,01.02.10.44.15,16
01.02.10.42.22.08,01.02.10.32.08.13,9
01.02.10.42.22.08,01.02.10.06.84.01,4
01.02.10.12.13.01,01.02.10.42.22.08,22
01.02.10.12.13.01,01.02.10.30.02.04.02,3
01.02.10.12.13.01,01.02.10.10.02.10,10
01.02.10.12.13.01,01.02.10.44.15,6
01.02.10.12.13.01,01.02.10.32.08.13,6
01.02.10.30.02.04.02,01.02.10.10.02.10,1
01.02.10.30.02.04.02,01.02.10.42.22.08,1
01.02.10.30.02.04.02,01.02.10.44.15,1
01.02.10.30.02.04.02,01.02.10.32.08.13,1
01.02.10.10.02.10,01.02.10.42.22.08,9
01.02.10.10.02.10,01.02.10.44.15,1
01.02.10.43.01.118.01,01.02.10.43.11,2
01.20.01.99.04,01.20.01.03.01.01,2
01.20.01.99.04,01.20.99.01.05.02,1
01.20.01.99.04,01.20.01.99.03,2
01.11.02.09.01.02,01.11.02.02.03.12,3
01.11.02.10.99,01.11.02.02.03.12,1
01.11.02.02.03.12,01.11.02.09.01.01.02,15
01.20.07.03.03,01.20.07.03.01,25
01.15.05.04.07.01,01.15.01.05,9
01.15.05.04.07.01,01.15.05.03.01.04,8
01.15.05.04.07.01,01.15.02.06.01,16
01.15.05.04.07.01,01.15.04.06,20
01.15.05.04.07.01,01.15.05.02.06.01.01,14
01.15.05.04.07.01,01.15.06.07,36
01.15.05.04.07.01,01.15.05.02.02,1
01.15.05.04.07.01,01.15.04.03.02,11
01.15.05.04.07.01,01.15.05.03.01.01,6
01.15.05.04.07.01,01.15.05.02.06.04,20
01.15.05.04.04,01.15.05.02.02,8
01.15.04.01.01,01.15.05.02.02,12
01.15.04.02.04,01.15.05.02.02,8
01.15.04.01.09,01.15.01.05,8
01.15.04.01.09,01.15.01.01.01.02,15
01.15.04.01.09,01.15.05.03.01.04,5
01.15.04.01.09,01.15.02.06.01,6
01.15.04.01.09,01.15.01.02.01.01,11
01.15.04.01.09,01.15.04.06,8
01.15.04.01.09,01.15.05.02.06.01.01,9
01.15.04.01.09,01.15.06.07,17
01.15.04.01.09,01.15.04.02.01,10
01.15.04.01.09,01.15.01.03.01,5
01.15.04.01.09,01.15.01.04.06,14
01.15.04.01.09,01.15.05.02.02,1
01.15.04.01.09,01.15.05.03.01.01,4
01.15.04.07,01.15.05.02.02,6
01.15.03.17.05,01.15.05.02.02,5
01.15.05.04.03.01,01.15.05.02.02,2
01.15.05.04.03.01,01.15.05.03.01.01,29
01.15.05.10,01.15.01.05,34
01.15.05.10,01.15.05.02.02,2
01.15.05.10,01.15.05.03.01.01,30
01.15.05.04.06.03,01.15.05.02.02,9
01.15.05.04.06.03,01.15.05.03.01.01,39
01.15.03.16,01.15.05.02.02,6
01.15.05.18,01.15.05.02.02,4
01.15.05.04.05.01,01.15.01.05,17
01.15.05.04.05.01,01.15.05.02.02,4
01.15.01.07,01.15.05.02.02,9
01.15.01.05,01.15.08.01,14
01.15.01.05,01.15.05.04.03.04,15
01.15.01.05,01.15.06.06,3
01.15.01.05,01.15.06.07,11
01.15.01.05,01.15.05.02.02,1
01.15.08.01,01.15.05.02.02,2
01.15.01.01.01.02,01.15.05.03.01.04,29
01.15.01.01.01.02,01.15.06.07,31
01.15.05.03.04.03,01.15.05.03.01.04,18
01.15.05.03.04.03,01.15.06.07,14
01.15.02.01,01.15.05.03.01.04,12
01.15.02.01,01.15.04.06,18
01.15.02.01,01.15.05.02.06.01.01,13
01.15.02.01,01.15.04.02.01,35
01.15.02.01,01.15.01.03.01,36
01.15.05.03.01.04,01.15.02.06.01,5
01.15.05.03.01.04,01.15.04.06,7
01.15.05.03.01.04,01.15.05.02.06.01.06,21
01.15.05.03.01.04,01.15.05.02.06.01.01,25
01.15.05.03.01.04,01.15.05.16.01,19
01.15.05.03.01.04,01.15.05.04.03.04,11
01.15.05.03.01.04,01.15.06.07,16
01.15.05.03.01.04,01.15.04.02.01,7
01.15.05.03.01.04,01.15.01.03.01,12
01.15.02.06.01,01.15.05.02.06.01.01,19
01.15.02.06.01,01.15.06.07,6
01.15.01.02.01.01,01.15.06.06,8
01.15.01.02.01.01,01.15.06.07,14
01.15.04.06,01.15.06.07,18
01.15.05.16.01,01.15.05.04.03.04,45
01.11.04.01.99,01.11.04.04,8
01.11.04.01.99,01.11.05.12.04,1
01.11.04.01.99,01.11.05.12.01,17
01.11.02.02.99,01.11.04.04,117
01.11.02.02.99,01.11.05.12.04,1
01.11.03.07.99,01.11.04.04,72
01.11.02.09.01.01.02,01.11.01.04.05.01,79
01.24.04.02,01.24.04.05.01,2
01.24.04.04,01.24.04.01.01,4
01.24.04.04,01.24.04.05.01,9
01.24.04.01.01,01.24.04.05.01,5
03.03.99,03.03.14.04,5
01.15.02.06.03,01.15.02.06.03,9
01.16.04.04,01.16.04.04,37
01.26.02.04.01.18,01.26.01.02.03.04.02,1
01.26.02.04.01.18,01.26.01.02.03.04.03,1
01.26.02.04.01.18,01.02.10.43.21.03,13
01.26.02.04.01.18,01.26.01.02.03.02.25,2
01.26.02.04.01.18,01.26.02.04.01.01,1
01.26.02.04.01.18,01.02.11.01.12.01.03.02,1
01.26.02.04.01.18,01.02.10.43.04,1
01.26.02.04.01.18,01.26.01.02.03.01.32,1
01.26.02.04.01.18,01.26.01.02.03.05.15,1
01.26.02.04.01.18,01.26.02.05.13,1
01.26.02.04.01.18,01.02.10.43.11,3
01.26.02.04.01.18,01.26.01.02.03.01.39,1
01.26.02.04.01.18,01.26.01.03.10,1
01.26.02.04.01.18,01.26.01.02.03.05.08,2
01.26.02.04.01.18,01.26.01.02.03.01.17,1
01.26.02.04.01.18,01.02.10.43.07,1
01.26.02.04.01.18,01.26.02.04.01.20,2
01.26.02.04.01.18,01.26.01.02.03.01.23,2
01.26.02.04.01.18,01.26.02.05.04,1
01.26.02.04.01.18,01.02.10.43.21.02,2
01.26.02.04.01.18,01.26.01.02.03.02.21,1
01.26.02.04.01.18,01.26.01.02.03.05.07,1
01.26.01.02.03.04.02,01.26.01.02.03.04.03,1
01.26.01.02.03.04.02,01.02.10.43.21.03,37
01.26.01.02.03.04.02,01.26.01.02.03.02.25,1
01.26.01.02.03.04.02,01.26.02.04.01.01,3
01.26.01.02.03.04.02,01.02.11.01.12.01.03.02,1
01.26.01.02.03.04.02,01.02.10.43.04,1
01.26.01.02.03.04.02,01.26.01.02.03.01.32,1
01.26.01.02.03.04.02,01.26.01.02.03.05.15,2
01.26.01.02.03.04.02,01.26.02.05.13,1
01.26.01.02.03.04.02,01.02.10.43.11,3
01.26.01.02.03.04.02,01.26.01.02.03.01.39,2
01.26.01.02.03.04.02,01.26.01.03.10,1
01.26.01.02.03.04.02,01.26.01.02.03.05.08,2
01.26.01.02.03.04.02,01.26.01.02.03.01.17,2
01.26.01.02.03.04.02,01.02.10.43.07,2
01.26.01.02.03.04.02,01.26.02.04.01.20,1
01.26.01.02.03.04.02,01.26.01.02.03.01.23,4
01.26.01.02.03.04.02,01.26.02.05.04,2
01.26.01.02.03.04.02,01.02.10.43.21.02,2
01.26.01.02.03.04.02,01.26.01.02.03.02.21,1
01.26.01.02.03.04.02,01.26.01.02.03.05.07,1
01.26.01.02.03.04.03,01.02.10.43.21.03,30
01.26.01.02.03.04.03,01.26.01.02.03.02.25,1
01.26.01.02.03.04.03,01.26.02.04.01.01,1
01.26.01.02.03.04.03,01.02.11.01.12.01.03.02,2
01.26.01.02.03.04.03,01.02.10.43.04,2
01.26.01.02.03.04.03,01.26.01.02.03.01.32,1
01.26.01.02.03.04.03,01.26.01.02.03.05.15,1
01.26.01.02.03.04.03,01.26.02.05.13,1
01.26.01.02.03.04.03,01.02.10.43.11,7
01.26.01.02.03.04.03,01.26.01.02.03.01.39,1
01.26.01.02.03.04.03,01.26.01.03.10,1
01.26.01.02.03.04.03,01.26.01.02.03.05.08,2
01.26.01.02.03.04.03,01.26.01.02.03.01.17,1
01.26.01.02.03.04.03,01.02.10.43.07,2
01.26.01.02.03.04.03,01.26.02.04.01.20,1
01.26.01.02.03.04.03,01.26.01.02.03.01.23,3
01.26.01.02.03.04.03,01.26.02.05.04,1
01.26.01.02.03.04.03,01.02.10.43.21.02,5
01.26.01.02.03.04.03,01.26.01.02.03.02.21,2
01.26.01.02.03.04.03,01.26.01.02.03.05.07,2
01.02.10.43.21.03,01.26.01.02.03.02.25,13
01.02.10.43.21.03,01.02.10.43.21.03,649
01.02.10.43.21.03,01.26.02.04.01.01,15
01.02.10.43.21.03,01.02.11.01.12.01.03.02,29
01.02.10.43.21.03,01.02.10.43.04,17
01.02.10.43.21.03,01.26.01.02.03.01.32,2
01.02.10.43.21.03,01.26.01.02.03.05.15,21
01.02.10.43.21.03,01.26.02.05.13,3
01.02.10.43.21.03,01.02.10.43.11,107
01.02.10.43.21.03,01.26.01.02.03.01.39,12
01.02.10.43.21.03,01.26.01.03.10,8
01.02.10.43.21.03,01.26.01.02.03.05.08,30
01.02.10.43.21.03,01.26.01.02.03.01.17,6
01.02.10.43.21.03,01.26.02.04.01.20,5
01.02.10.43.21.03,01.26.01.02.03.01.23,39
01.02.10.43.21.03,01.26.02.05.04,12
01.02.10.43.21.03,01.02.10.43.21.02,54
01.02.10.43.21.03,01.26.01.02.03.02.21,15
01.26.01.02.03.02.25,01.02.10.43.21.03,38
01.26.01.02.03.02.25,01.26.02.04.01.01,2
01.26.01.02.03.02.25,01.02.11.01.12.01.03.02,3
01.26.01.02.03.02.25,01.02.10.43.04,2
01.26.01.02.03.02.25,01.26.01.02.03.01.32,1
01.26.01.02.03.02.25,01.26.01.02.03.05.15,1
01.26.01.02.03.02.25,01.26.02.05.13,1
01.26.01.02.03.02.25,01.02.10.43.11,9
01.26.01.02.03.02.25,01.26.01.02.03.01.39,2
01.26.01.02.03.02.25,01.26.01.03.10,1
01.26.01.02.03.02.25,01.26.01.02.03.05.08,3
01.26.01.02.03.02.25,01.26.01.02.03.01.17,1
01.26.01.02.03.02.25,01.02.10.43.07,2
01.26.01.02.03.02.25,01.26.01.02.03.01.23,3
01.26.01.02.03.02.25,01.26.02.05.04,1
01.26.01.02.03.02.25,01.02.10.43.21.02,6
01.26.01.02.03.02.25,01.26.01.02.03.02.21,2
01.26.02.04.01.01,01.02.11.01.12.01.03.02,3
01.26.02.04.01.01,01.02.10.43.04,2
01.26.02.04.01.01,01.26.01.02.03.01.32,1
01.26.02.04.01.01,01.02.10.43.21.03,52
01.26.02.04.01.01,01.26.01.02.03.05.15,2
01.26.02.04.01.01,01.26.02.05.13,1
01.26.02.04.01.01,01.02.10.43.11,11
01.26.02.04.01.01,01.26.01.02.03.01.39,1
01.26.02.04.01.01,01.26.01.03.10,2
01.26.02.04.01.01,01.26.01.02.03.05.08,4
01.26.02.04.01.01,01.26.01.02.03.01.17,1
01.26.02.04.01.01,01.02.10.43.07,3
01.26.02.04.01.01,01.26.02.04.01.20,1
01.26.02.04.01.01,01.26.01.02.03.01.23,5
01.26.02.04.01.01,01.26.02.05.04,2
01.26.02.04.01.01,01.02.10.43.21.02,6
01.26.02.04.01.01,01.26.01.02.03.02.21,3
01.02.11.01.12.01.03.02,01.02.10.43.04,3
01.02.11.01.12.01.03.02,01.26.01.02.03.01.32,1
01.02.11.01.12.01.03.02,01.02.10.43.21.03,13
01.02.11.01.12.01.03.02,01.26.01.02.03.05.15,1
01.02.11.01.12.01.03.02,01.26.02.05.13,1
01.02.11.01.12.01.03.02,01.02.10.43.11,5
01.02.11.01.12.01.03.02,01.26.01.02.03.01.39,2
01.02.11.01.12.01.03.02,01.26.01.03.10,1
01.02.11.01.12.01.03.02,01.26.01.02.03.05.08,1
01.02.11.01.12.01.03.02,01.26.01.02.03.01.17,1
01.02.11.01.12.01.03.02,01.02.10.43.07,2
01.02.11.01.12.01.03.02,01.26.02.04.01.20,2
01.02.11.01.12.01.03.02,01.26.01.02.03.01.23,2
01.02.11.01.12.01.03.02,01.26.02.05.04,1
01.02.11.01.12.01.03.02,01.02.10.43.21.02,2
01.02.10.43.04,01.26.01.02.03.01.32,1
01.02.10.43.04,01.02.10.43.21.03,36
01.02.10.43.04,01.26.01.02.03.05.15,2
01.02.10.43.04,01.26.02.05.13,1
01.02.10.43.04,01.26.01.02.03.01.39,1
01.02.10.43.04,01.26.01.03.10,1
01.02.10.43.04,01.26.01.02.03.05.08,2
01.02.10.43.04,01.26.01.02.03.01.17,1
01.02.10.43.04,01.02.10.43.07,6
01.02.10.43.04,01.26.02.04.01.20,1
01.02.10.43.04,01.26.01.02.03.01.23,4
01.02.10.43.04,01.26.02.05.04,1
01.26.01.02.03.01.32,01.02.10.43.21.03,8
01.26.01.02.03.01.32,01.26.01.02.03.05.15,1
01.26.01.02.03.01.32,01.26.02.05.13,1
01.26.01.02.03.01.32,01.02.10.43.11,2
01.26.01.02.03.01.32,01.26.01.02.03.01.39,1
01.26.01.02.03.01.32,01.26.01.03.10,1
01.26.01.02.03.01.32,01.26.01.02.03.05.08,1
01.26.01.02.03.01.32,01.26.01.02.03.01.17,1
01.26.01.02.03.01.32,01.02.10.43.07,1
01.26.01.02.03.01.32,01.26.02.04.01.20,1
01.26.01.02.03.01.32,01.26.01.02.03.01.23,1
01.26.01.02.03.01.32,01.26.02.05.04,1
01.26.01.02.03.05.15,01.26.02.05.13,1
01.26.01.02.03.05.15,01.02.10.43.11,3
01.26.01.02.03.05.15,01.26.01.02.03.01.39,3
01.26.01.02.03.05.15,01.26.01.03.10,1
01.26.01.02.03.05.15,01.26.01.02.03.05.08,2
01.26.01.02.03.05.15,01.26.01.02.03.01.17,1
01.26.01.02.03.05.15,01.02.10.43.07,2
01.26.01.02.03.05.15,01.26.02.04.01.20,1
01.26.01.02.03.05.15,01.26.01.02.03.01.23,2
01.26.02.05.13,01.02.10.43.11,8
01.26.02.05.13,01.26.01.02.03.01.39,1
01.26.02.05.13,01.26.01.03.10,2
01.26.02.05.13,01.02.10.43.21.03,6
01.26.02.05.13,01.26.01.02.03.05.08,1
01.26.02.05.13,01.26.01.02.03.01.17,1
01.26.02.05.13,01.02.10.43.07,1
01.26.02.05.13,01.26.02.04.01.20,1
01.26.02.05.13,01.26.01.02.03.01.23,1
01.02.10.43.11,01.26.01.02.03.01.39,1
01.02.10.43.11,01.26.01.03.10,1
01.02.10.43.11,01.02.10.43.21.03,53
01.02.10.43.11,01.26.01.02.03.05.08,3
01.02.10.43.11,01.26.01.02.03.01.17,1
01.02.10.43.11,01.26.02.04.01.20,1
01.26.01.02.03.01.39,01.26.01.03.10,1
01.26.01.02.03.01.39,01.02.10.43.21.03,23
01.26.01.02.03.01.39,01.26.01.02.03.05.08,1
01.26.01.02.03.01.39,01.26.01.02.03.01.17,1
01.26.01.02.03.01.39,01.02.10.43.07,2
01.26.01.02.03.01.39,01.26.02.04.01.20,1
01.26.01.03.10,01.02.10.43.21.03,12
01.26.01.03.10,01.26.01.02.03.05.08,2
01.26.01.03.10,01.26.01.02.03.01.17,1
01.26.01.03.10,01.02.10.43.07,1
01.11.03.13,01.11.10.03.02,1
01.11.03.01.01.99,01.11.10.03.02,2
01.11.10.03.02,01.11.03.01.99,9
01.11.10.03.02,01.11.03.01.01.99,5
01.11.10.03.02,01.11.04.99,2
01.02.11.01.03.07.02,01.02.11.01.03.38.03,2
01.02.11.01.03.07.02,01.02.11.01.03.21,2
01.02.11.01.03.07.02,01.02.11.01.03.05,1
01.02.10.54.03.03.01,01.02.10.50.33,2
01.02.10.54.03.03.01,01.02.10.50.58,1
01.02.10.54.03.03.01,01.02.11.01.06.04.06,1
01.02.10.54.03.03.01,01.02.11.01.07.08.04,1
01.02.10.54.03.03.01,01.02.10.44.14,1
01.02.10.54.03.03.01,01.02.10.50.37,1
01.02.10.54.03.03.01,01.02.10.50.21,1
01.02.10.50.33,01.02.11.01.06.03.07.05,1
01.02.10.50.33,01.02.10.50.58,1
01.02.10.50.33,01.02.11.01.06.04.06,1
01.02.10.50.33,01.02.11.01.07.08.04,1
01.02.10.50.33,01.02.10.44.14,2
01.02.10.50.33,01.02.10.50.37,1
01.02.11.01.06.03.07.05,01.02.10.50.58,2
01.02.11.01.06.03.07.05,01.02.11.01.06.04.06,2
01.02.11.01.06.03.07.05,01.02.11.01.07.08.04,1
01.02.11.01.06.03.07.05,01.02.10.44.14,1
01.02.10.50.58,01.02.11.01.06.04.06,5
01.02.10.50.58,01.02.11.01.07.08.04,4
01.13.17.10,01.13.17.02,37
01.02.10.50.10,01.02.10.12.04.06,22
01.02.10.50.10,01.02.10.50.29.14,5
01.02.10.50.10,01.02.10.43.05.32.01,22
01.02.10.50.10,01.02.11.01.04.12.01,2
01.02.10.50.10,01.02.10.50.02,3
01.02.10.50.10,01.02.10.12.01.02,1
01.02.10.50.10,01.02.10.02.09,2
01.02.10.50.10,01.02.10.50.20,8
01.02.10.12.04.06,01.02.10.50.29.14,3
01.02.10.12.04.06,01.02.11.03.18.05,2
01.02.10.12.04.06,01.02.10.43.05.32.01,7
01.02.10.12.04.06,01.02.11.01.04.12.01,4
01.02.10.12.04.06,01.02.10.12.01.02,1
01.02.10.12.04.06,01.02.10.02.09,3
01.02.10.12.04.06,01.02.10.50.20,4
01.02.10.12.04.06,01.02.10.06.43.17,4
01.02.10.12.01.01,01.02.10.50.29.14,8
01.02.10.12.01.01,01.02.11.03.18.05,6
01.02.10.12.01.01,01.02.10.43.05.32.01,20
01.02.10.12.01.01,01.02.11.01.04.12.01,5
01.02.10.12.01.01,01.02.10.50.02,10
01.02.10.12.01.01,01.02.10.12.01.02,3
01.02.10.12.01.01,01.02.10.50.72,11
01.02.10.12.01.01,01.02.10.02.09,3
01.02.10.12.01.01,01.02.10.50.20,17
01.02.10.50.29.14,01.02.10.12.03,1
01.02.10.50.29.14,01.02.10.12.01.01,10
01.02.10.50.29.14,01.02.10.50.29.14,7
01.02.10.50.29.14,01.02.11.03.18.05,6
01.02.10.50.29.14,01.02.10.12.04.06,2
01.02.10.50.29.14,01.02.10.43.05.32.01,4
01.02.10.50.29.14,01.02.10.12.13.01,4
01.02.10.50.29.14,01.02.10.12.04.03,6
01.02.10.50.29.14,01.02.11.01.04.12.01,2
01.02.10.50.29.14,01.02.10.50.02,2
01.02.10.50.29.14,01.02.10.12.01.02,1
01.02.10.50.29.14,01.02.10.50.72,1
01.02.10.50.29.14,01.02.10.02.09,1
01.02.10.50.29.14,01.02.10.50.20,1
01.02.10.12.03,01.02.10.50.29.14,3
01.02.10.12.03,01.02.11.03.18.05,3
01.02.10.12.03,01.02.11.01.04.12.01,1
01.02.10.12.03,01.02.10.12.01.02,1
01.02.10.12.03,01.02.10.02.09,2
01.02.11.03.18.05,01.02.10.12.01.01,3
01.02.11.03.18.05,01.02.10.12.04.06,1
01.02.11.03.18.05,01.02.10.43.05.32.01,6
01.02.11.03.18.05,01.02.10.12.13.01,2
01.02.11.03.18.05,01.02.10.12.04.03,1
01.02.11.03.18.05,01.02.11.01.04.12.01,1
01.02.11.03.18.05,01.02.10.50.02,1
01.02.10.43.05.32.01,01.02.10.12.13.01,4
01.11.03.05.07,01.11.05.14,19
01.11.03.05.01,01.11.02.10.02,96
01.11.03.05.01,01.11.05.14,3
01.11.03.05.05.01,01.11.05.14,2
01.16.07.01.03,01.16.17.02,2
01.11.03.05.05.01,01.11.02.10.99,9
01.16.20.03,01.16.04.01,3
01.15.05.03.02,01.15.05.02.05.01,46
01.10.05.03.01.04,01.10.04.01,26
01.10.05.03.01.04,01.10.03.06,37
01.15.01.09,01.15.01.01.01.03,34
01.11.03.12.02,01.11.03.13,37
01.20.07.11.06.01.02,01.20.07.11.06.01.02,12
01.02.10.55.02.01,01.02.10.44.01,9
01.11.04.09.03.01,01.11.03.05.07,5
01.11.04.09.03.01,01.11.03.05.05.02,2
01.15.02.05.03,01.15.09,54
01.15.02.08,01.15.02.05.07,93
01.15.02.05.07,01.15.02.08,14
01.13.11.03.01.04,01.13.01.01.03,2
01.13.11.03.01.04,01.13.02.02,1
01.13.11.03.01.04,01.13.06.09,1
01.13.01.01.03,01.13.02.02,1
01.14.08,01.14.08,190
01.15.04.03.03,01.15.05.19,3
01.15.04.03.03,01.15.02.02.01,28
01.15.05.01.05.01.04,01.15.04.03.04,6
01.20.05.04,01.20.05.03.02,34
01.20.04.06.01.01,01.20.04.11,8
01.11.01.07.01.10,01.11.06.01.02.02,1
01.11.01.07.01.10,01.11.03.01.01.99,2
01.02.10.43.135.59,01.02.11.01.12.03.25,3
01.02.10.43.135.59,01.02.12,1
01.02.10.43.135.59,01.02.10.43.07,1
